Exchange Date,Close,Net,%Chg,Bid,Ask,Implied Volatility,Ask Implied Volatility,Bid Implied Volatility,Delta,Theta,Gamma,Open Interest,Rho,Vega,Mid Price
14-Dec-2023,360.3,-9.5,-2.6%,345.4,374.4,13.0,13.9,12.8,-0.8,0.0,0.0,0,-13.9,8.1,359.9
13-Dec-2023,369.8,+6.3,+1.7%,358.9,381.2,13.3,14.8,11.8,-0.8,0.0,0.0,0,-14.1,8.1,370.1
12-Dec-2023,363.5,+4.8,+1.3%,354.8,372.8,13.2,13.9,12.5,-0.8,0.0,0.0,0,-14.1,8.1,363.8
11-Dec-2023,358.7,-20.3,-5.4%,348.5,370.5,13.0,14.8,12.1,-0.8,0.0,0.0,0,-14.2,8.2,359.5
08-Dec-2023,379.0,-43.7,-10.3%,369.6,391.7,13.9,15.4,12.7,-0.8,0.0,0.0,0,-14.4,8.2,380.7
07-Dec-2023,422.7,+15.3,+3.8%,411.4,434.2,14.5,15.9,12.8,-0.8,0.0,0.0,0,-14.9,8.2,422.8
06-Dec-2023,407.4,-33.7,-7.6%,402.5,414.3,13.4,14.8,13.3,-0.8,0.1,0.0,0,-15.2,6.1,408.4
05-Dec-2023,441.1,-32.3,-6.8%,434.3,445.8,14.7,15.2,13.4,-0.8,0.1,0.0,0,-15.3,6.0,440.1
04-Dec-2023,473.4,+1.6,+0.3%,468.2,479.9,14.4,15.5,13.6,-0.9,0.1,0.0,0,-15.8,6.1,474.1
01-Dec-2023,471.8,-30.6,-6.1%,466.5,476.6,14.9,15.5,13.9,-0.8,0.1,0.0,0,-16.0,6.1,471.6
30-Nov-2023,502.4,-11.2,-2.2%,486.3,518.2,14.9,16.1,14.3,-0.9,0.1,0.0,0,-16.4,6.2,502.3
29-Nov-2023,513.6,-22.5,-4.2%,504.2,522.2,15.2,16.7,13.8,-0.9,0.1,0.0,0,-16.5,6.2,513.2
28-Nov-2023,536.1,+9.8,+1.9%,519.4,551.0,15.7,18.0,12.3,-0.9,0.1,0.0,0,-16.7,6.2,535.2
27-Nov-2023,526.3,+16.9,+3.3%,509.6,541.2,15.1,17.8,12.5,-0.9,0.1,0.0,0,-16.9,6.3,525.4
24-Nov-2023,509.4,-10.6,-2.0%,504.7,516.2,14.9,16.1,14.3,-0.9,0.2,0.0,0,-17.1,6.4,510.5
23-Nov-2023,520.0,-7.8,-1.5%,511.4,529.4,15.1,16.8,14.0,-0.9,0.1,0.0,0,-17.2,6.4,520.4
22-Nov-2023,527.8,-19.2,-3.5%,521.9,534.4,15.1,16.3,14.3,-0.9,0.1,0.0,0,-17.4,6.4,528.2
21-Nov-2023,547.0,+10.2,+1.9%,542.2,555.9,15.5,17.0,14.8,-0.9,0.1,0.0,0,-17.5,6.4,549.1
20-Nov-2023,536.8,-5.5,-1.0%,527.5,543.0,15.0,16.1,13.6,-0.9,0.2,0.0,0,-17.7,6.5,535.3
17-Nov-2023,542.3,-36.2,-6.3%,536.9,547.7,15.8,16.5,14.8,-0.9,0.1,0.0,0,-17.8,6.4,542.3
16-Nov-2023,578.5,+14.9,+2.6%,572.7,584.2,16.3,17.2,15.6,-0.9,0.1,0.0,0,-18.1,6.4,578.5
15-Nov-2023,563.6,-17.9,-3.1%,558.6,570.1,15.8,16.9,15.1,-0.9,0.1,0.0,0,-18.2,6.5,564.4
14-Nov-2023,581.5,-64.3,-10.0%,576.7,587.9,15.2,16.7,15.0,-0.9,0.2,0.0,0,-18.7,6.7,582.3
13-Nov-2023,645.8,-32.6,-4.8%,639.3,651.1,17.3,18.0,16.0,-0.9,0.1,0.0,0,-18.7,6.4,645.2
10-Nov-2023,678.4,+30.7,+4.7%,672.4,684.5,17.9,18.9,16.9,-0.9,0.1,0.0,0,-19.1,6.4,678.5
09-Nov-2023,647.7,-48.8,-7.0%,641.6,653.4,17.4,18.2,16.4,-0.9,0.1,0.0,0,-19.1,6.5,647.5
08-Nov-2023,696.5,-23.1,-3.2%,691.0,703.0,18.3,19.3,17.3,-0.9,0.1,0.0,0,-19.4,6.4,697.0
07-Nov-2023,719.6,+6.8,+1.0%,714.3,726.6,18.6,19.7,17.5,-0.9,0.1,0.0,0,-19.6,6.5,720.5
06-Nov-2023,712.8,+18.5,+2.7%,707.7,720.1,18.3,19.6,17.5,-0.9,0.1,0.0,0,-19.8,6.5,713.9
03-Nov-2023,694.3,-9.6,-1.4%,690.6,702.4,17.6,19.1,17.2,-0.9,0.1,0.0,0,-20.1,6.6,696.5
02-Nov-2023,703.9,-76.2,-9.8%,698.2,710.3,18.5,19.5,17.6,-0.9,0.1,0.0,0,-20.0,6.5,704.3
01-Nov-2023,780.1,-33.8,-4.2%,774.5,787.4,19.9,20.7,18.3,-0.9,0.1,0.0,0,-20.4,6.5,781.0
31-Oct-2023,813.9,-30.4,-3.6%,807.0,820.0,20.6,21.2,18.6,-0.9,0.1,0.0,0,-20.5,6.4,813.5
30-Oct-2023,844.3,-5.0,-0.6%,837.6,851.3,20.9,21.9,19.2,-0.9,0.2,0.0,0,-20.8,4.3,844.5
27-Oct-2023,849.3,+29.3,+3.6%,843.9,857.8,19.5,22.2,19.5,-0.9,0.3,0.0,0,-21.5,4.5,850.9
26-Oct-2023,820.0,+25.4,+3.2%,814.6,830.4,20.2,21.7,18.9,-0.9,0.2,0.0,0,-21.2,4.4,822.5
25-Oct-2023,794.6,-12.6,-1.6%,785.2,805.5,19.4,21.3,17.5,-0.9,0.3,0.0,0,-21.3,4.4,795.4
24-Oct-2023,807.2,-20.3,-2.5%,,,20.4,,,-0.9,0.1,0.0,0,-21.2,6.6,
23-Oct-2023,827.5,-10.2,-1.2%,,,20.4,,,-0.9,0.1,0.0,0,-21.5,6.6,
20-Oct-2023,837.7,+58.9,+7.6%,,,19.6,,,-0.9,0.3,0.0,0,-22.1,4.5,
19-Oct-2023,778.8,+17.6,+2.3%,,,19.7,,,-0.9,0.1,0.0,0,-21.7,6.7,
18-Oct-2023,761.2,+43.8,+6.1%,,,19.1,,,-0.9,0.1,0.0,0,-21.8,6.8,
17-Oct-2023,717.4,-1.1,-0.2%,,,18.5,,,-0.9,0.1,0.0,0,-21.7,6.9,
16-Oct-2023,718.5,-12.6,-1.7%,,,18.3,,,-0.9,0.1,0.0,0,-21.9,6.9,
13-Oct-2023,731.1,+63.7,+9.5%,,,18.6,,,-0.9,0.1,0.0,0,-22.2,6.9,
12-Oct-2023,667.4,+7.1,+1.1%,,,17.2,,,-0.9,0.2,0.0,0,-22.2,7.1,
11-Oct-2023,660.3,-1.3,-0.2%,,,16.5,,,-0.9,0.2,0.0,0,-22.5,7.2,
10-Oct-2023,661.6,-89.4,-11.9%,,,17.2,,,-0.9,0.2,0.0,0,-22.3,7.1,
09-Oct-2023,751.0,+30.6,+4.2%,,,18.6,,,-0.9,0.2,0.0,0,-22.8,7.0,
06-Oct-2023,720.4,-41.1,-5.4%,,,18.2,,,-0.9,0.2,0.0,0,-22.9,7.1,
05-Oct-2023,761.5,-0.5,-0.1%,,,18.7,,,-0.9,0.2,0.0,0,-23.3,7.1,
04-Oct-2023,762.0,-4.2,-0.5%,,,18.8,,,-0.9,0.2,0.0,0,-23.3,7.1,
03-Oct-2023,766.2,+41.6,+5.7%,,,18.2,,,-0.9,0.2,0.0,0,-23.4,7.2,
02-Oct-2023,724.6,+41.2,+6.0%,,,18.2,,,-0.9,0.2,0.0,0,-23.4,7.2,
29-Sep-2023,683.4,-18.4,-2.6%,,,16.9,,,-0.9,0.2,0.0,0,-23.7,7.4,
28-Sep-2023,701.8,-26.3,-3.6%,,,17.9,,,-0.9,0.2,0.0,0,-23.6,7.3,
27-Sep-2023,728.1,-2.3,-0.3%,,,18.1,,,-0.9,0.2,0.0,0,-23.9,7.3,
26-Sep-2023,730.4,+34.1,+4.9%,,,18.0,,,-0.9,0.2,0.0,0,-24.1,7.3,
25-Sep-2023,696.3,+45.1,+6.9%,,,18.0,,,-0.8,0.2,0.0,0,-23.8,7.3,
22-Sep-2023,651.2,+4.5,+0.7%,,,16.4,,,-0.9,0.2,0.0,0,-24.2,7.6,
21-Sep-2023,646.7,+61.6,+10.5%,,,16.4,,,-0.8,0.2,0.0,0,-24.2,7.6,
20-Sep-2023,585.1,-35.6,-5.7%,,,15.2,,,-0.8,0.2,0.0,0,-24.1,7.7,
19-Sep-2023,620.7,+1.3,+0.2%,,,16.2,,,-0.8,0.2,0.0,0,-24.2,7.6,
18-Sep-2023,619.4,+48.5,+8.5%,,,15.8,,,-0.8,0.2,0.0,0,-24.5,7.6,
15-Sep-2023,570.9,-8.4,-1.5%,,,15.5,,,-0.8,0.2,0.0,0,-24.2,7.7,
14-Sep-2023,579.3,-56.0,-8.8%,,,14.9,,,-0.8,0.2,0.0,0,-24.7,7.9,
13-Sep-2023,635.3,+13.9,+2.2%,,,15.9,,,-0.8,0.2,0.0,0,-25.1,7.8,
12-Sep-2023,621.4,+11.2,+1.8%,,,16.1,,,-0.8,0.2,0.0,0,-24.9,7.7,
11-Sep-2023,610.2,-15.1,-2.4%,,,16.0,,,-0.8,0.2,0.0,0,-24.9,7.7,
08-Sep-2023,625.3,-20.5,-3.2%,,,16.1,,,-0.8,0.2,0.0,0,-25.4,7.8,
07-Sep-2023,645.8,+19.7,+3.1%,,,16.9,,,-0.8,0.2,0.0,0,-25.3,7.6,
06-Sep-2023,626.1,+28.6,+4.8%,,,16.3,,,-0.8,0.2,0.0,0,-25.5,7.7,
05-Sep-2023,597.5,+5.0,+0.8%,,,16.1,,,-0.8,0.2,0.0,0,-25.3,7.8,
04-Sep-2023,592.5,+7.9,+1.4%,,,16.5,,,-0.8,0.1,0.0,0,-25.0,10.6,
01-Sep-2023,584.6,+19.7,+3.5%,,,15.9,,,-0.8,0.1,0.0,0,-25.5,10.8,
31-Aug-2023,564.9,+12.0,+2.2%,,,15.2,,,-0.8,0.2,0.0,0,-25.7,8.0,
30-Aug-2023,552.9,+8.0,+1.5%,,,15.4,,,-0.8,0.1,0.0,0,-25.4,10.9,
29-Aug-2023,544.9,-28.6,-5.0%,,,15.4,,,-0.8,0.1,0.0,0,-25.3,10.9,
28-Aug-2023,573.5,-55.5,-8.8%,,,15.7,,,-0.8,0.1,0.0,0,-25.7,10.9,
25-Aug-2023,629.0,-2.2,-0.3%,,,16.8,,,-0.8,0.1,0.0,0,-26.4,10.8,
24-Aug-2023,631.2,+32.7,+5.5%,,,16.6,,,-0.8,0.2,0.0,0,-26.6,7.9,
23-Aug-2023,598.5,-5.0,-0.8%,,,16.1,,,-0.8,0.1,0.0,0,-26.4,11.0,
22-Aug-2023,603.5,-34.0,-5.3%,,,16.2,,,-0.8,0.1,0.0,0,-26.6,11.0,
21-Aug-2023,637.5,-9.1,-1.4%,,,16.7,,,-0.8,0.2,0.0,0,-26.9,7.9,
18-Aug-2023,646.6,+11.9,+1.9%,,,16.7,,,-0.8,0.2,0.0,0,-27.3,8.0,
17-Aug-2023,634.7,+51.4,+8.8%,,,16.8,,,-0.8,0.1,0.0,0,-27.2,11.0,
16-Aug-2023,583.3,-0.4,-0.1%,,,16.1,,,-0.8,0.1,0.0,0,-26.7,11.1,
15-Aug-2023,583.7,+38.5,+7.1%,,,16.4,,,-0.8,0.1,0.0,0,-26.6,11.0,
14-Aug-2023,545.2,-6.1,-1.1%,,,15.9,,,-0.8,0.1,0.0,0,-26.3,11.1,
11-Aug-2023,551.3,+52.7,+10.6%,,,15.7,,,-0.8,0.1,0.0,0,-26.8,11.2,
10-Aug-2023,498.6,-60.2,-10.8%,,,15.3,,,-0.7,0.1,0.0,0,-26.0,11.1,
09-Aug-2023,558.8,-22.1,-3.8%,,,16.1,,,-0.8,0.1,0.0,0,-26.8,11.1,
08-Aug-2023,580.9,+45.4,+8.5%,,,16.1,,,-0.8,0.1,0.0,0,-27.3,11.2,
07-Aug-2023,535.5,-5.1,-0.9%,,,15.3,,,-0.8,0.1,0.0,0,-27.0,11.3,
04-Aug-2023,540.6,-32.9,-5.7%,,,15.5,,,-0.8,0.1,0.0,0,-27.2,11.4,
03-Aug-2023,573.5,+28.7,+5.3%,,,16.5,,,-0.8,0.1,0.0,0,-27.3,11.2,
02-Aug-2023,544.8,+68.3,+14.3%,,,16.2,,,-0.8,0.1,0.0,0,-27.1,11.2,
01-Aug-2023,476.5,+51.6,+12.1%,,,14.9,,,-0.7,0.1,0.0,0,-26.4,11.4,
31-Jul-2023,424.9,+3.2,+0.8%,,,14.4,,,-0.7,-0.0,0.0,0,-25.5,14.4,
28-Jul-2023,421.7,-18.3,-4.2%,,,14.0,,,-0.7,0.0,0.0,0,-26.0,14.6,
27-Jul-2023,440.0,-82.6,-15.8%,,,14.4,,,-0.7,-0.0,0.0,0,-26.2,14.6,
26-Jul-2023,522.6,+37.1,+7.6%,,,15.0,,,-0.8,0.1,0.0,0,-28.0,11.7,
25-Jul-2023,485.5,-3.6,-0.7%,,,14.7,,,-0.7,0.1,0.0,0,-27.3,11.6,
24-Jul-2023,489.1,+5.4,+1.1%,467.0,518.6,14.4,16.9,12.6,-0.7,0.1,0.0,0,-27.7,11.8,492.8
21-Jul-2023,483.7,-16.2,-3.2%,,,14.5,,,-0.7,0.1,0.0,0,-27.7,11.7,
20-Jul-2023,499.9,-7.5,-1.5%,,,14.8,,,-0.7,0.1,0.0,0,-28.0,11.7,
19-Jul-2023,507.4,+8.3,+1.7%,,,14.6,,,-0.8,0.1,0.0,0,-28.4,11.8,
18-Jul-2023,499.1,-12.9,-2.5%,,,14.5,,,-0.7,0.1,0.0,0,-28.4,11.9,
17-Jul-2023,512.0,+37.9,+8.0%,,,14.8,,,-0.8,0.1,0.0,0,-28.6,11.9,
14-Jul-2023,474.1,-5.5,-1.1%,,,14.3,,,-0.7,0.1,0.0,0,-28.2,11.9,
13-Jul-2023,479.6,-23.4,-4.7%,,,14.3,,,-0.7,0.1,0.0,0,-28.5,12.0,
12-Jul-2023,503.0,-66.4,-11.7%,,,14.3,,,-0.8,0.1,0.0,0,-29.1,12.1,
11-Jul-2023,569.4,-31.1,-5.2%,,,15.2,,,-0.8,0.1,0.0,0,-30.1,12.1,
10-Jul-2023,600.5,-17.1,-2.8%,,,15.9,,,-0.8,0.1,0.0,0,-30.4,12.0,
07-Jul-2023,617.6,-15.6,-2.5%,,,15.9,,,-0.8,0.1,0.0,0,-31.1,12.1,
06-Jul-2023,633.2,+111.8,+21.4%,,,16.2,,,-0.8,0.1,0.0,0,-31.2,12.0,
05-Jul-2023,521.4,+37.4,+7.7%,,,14.9,,,-0.7,0.1,0.0,0,-29.7,12.0,
04-Jul-2023,484.0,+8.6,+1.8%,,,14.4,,,-0.7,0.1,0.0,0,-29.2,12.1,
03-Jul-2023,475.4,+0.3,+0.1%,,,14.2,,,-0.7,0.1,0.0,0,-29.2,12.2,
30-Jun-2023,475.1,-39.5,-7.7%,,,14.3,,,-0.7,0.1,0.0,0,-29.4,12.2,
29-Jun-2023,514.6,-5.6,-1.1%,,,14.7,,,-0.7,0.1,0.0,0,-30.1,12.2,
28-Jun-2023,520.2,-37.1,-6.7%,,,14.7,,,-0.7,0.1,0.0,0,-30.4,12.3,
27-Jun-2023,557.3,-22.8,-3.9%,,,15.3,,,-0.8,0.1,0.0,0,-30.9,12.3,
26-Jun-2023,580.1,-11.4,-1.9%,,,15.6,,,-0.8,0.1,0.0,0,-31.3,12.2,
23-Jun-2023,591.5,+31.3,+5.6%,,,16.1,,,-0.8,0.1,0.0,0,-31.5,12.2,
22-Jun-2023,560.2,+17.0,+3.1%,,,15.5,,,-0.8,0.1,0.0,0,-31.2,12.3,
21-Jun-2023,543.2,+10.1,+1.9%,,,15.1,,,-0.7,0.1,0.0,0,-31.2,12.4,
20-Jun-2023,533.1,+14.2,+2.7%,,,15.5,,,-0.7,0.1,0.0,0,-30.7,12.2,
19-Jun-2023,518.9,+34.4,+7.1%,,,15.2,,,-0.7,0.1,0.0,0,-30.7,12.2,
16-Jun-2023,484.5,-28.0,-5.5%,,,14.4,,,-0.7,0.1,0.0,0,-30.7,12.3,
15-Jun-2023,512.5,+6.6,+1.3%,,,15.2,,,-0.7,0.1,0.0,0,-30.8,12.3,
14-Jun-2023,505.9,-21.0,-4.0%,,,15.2,,,-0.7,0.1,0.0,0,-30.7,12.2,
13-Jun-2023,526.9,-31.5,-5.6%,,,15.2,,,-0.7,0.1,0.0,0,-31.4,12.3,
12-Jun-2023,558.4,-25.1,-4.3%,,,15.7,,,-0.7,0.1,0.0,0,-31.8,12.3,
09-Jun-2023,583.5,+9.7,+1.7%,,,16.2,,,-0.7,0.1,0.0,0,-32.3,12.3,
08-Jun-2023,573.8,-4.3,-0.7%,,,15.9,,,-0.7,0.1,0.0,0,-32.6,12.4,
07-Jun-2023,578.1,-1.3,-0.2%,,,15.9,,,-0.7,0.1,0.0,0,-32.6,12.4,
06-Jun-2023,579.4,-1.8,-0.3%,,,16.1,,,-0.7,0.1,0.0,0,-32.5,12.3,
05-Jun-2023,581.2,+17.7,+3.1%,,,16.3,,,-0.7,0.1,0.0,0,-32.6,12.3,
02-Jun-2023,563.5,-52.5,-8.5%,,,16.6,,,-0.7,0.1,0.0,0,-32.1,12.2,
01-Jun-2023,616.0,-42.2,-6.4%,,,16.8,,,-0.7,0.1,0.0,0,-33.3,12.3,
31-May-2023,658.2,+71.3,+12.1%,,,17.8,,,-0.7,0.1,0.0,0,-33.6,12.2,
30-May-2023,586.9,+15.2,+2.7%,,,16.3,,,-0.7,0.1,0.0,0,-33.2,12.5,
29-May-2023,571.7,+15.3,+2.7%,,,16.7,,,-0.7,-0.0,0.0,0,-32.4,15.7,
26-May-2023,556.4,-54.6,-8.9%,,,16.7,,,-0.7,-0.0,0.0,0,-32.4,15.7,
25-May-2023,611.0,-9.2,-1.5%,,,17.1,,,-0.7,0.1,0.0,0,-33.6,12.4,
24-May-2023,620.2,+67.1,+12.1%,,,17.4,,,-0.7,0.1,0.0,0,-33.6,12.3,
23-May-2023,553.1,+32.1,+6.2%,,,16.6,,,-0.7,-0.0,0.0,0,-32.6,15.7,
22-May-2023,521.0,+3.1,+0.6%,,,15.9,,,-0.7,-0.0,0.0,0,-32.3,15.8,
19-May-2023,517.9,-25.5,-4.7%,,,16.2,,,-0.7,-0.0,0.0,0,-32.1,15.8,
18-May-2023,543.4,-40.6,-7.0%,,,16.9,,,-0.7,0.1,0.0,0,-33.7,12.4,
17-May-2023,584.0,-2.6,-0.4%,,,16.9,,,-0.7,0.1,0.0,0,-33.7,12.4,
16-May-2023,586.6,-6.8,-1.1%,,,16.7,,,-0.7,0.1,0.0,0,-34.0,12.5,
15-May-2023,593.4,-0.8,-0.1%,,,17.0,,,-0.7,0.1,0.0,0,-34.0,12.4,
12-May-2023,594.2,-13.9,-2.3%,,,16.6,,,-0.7,0.1,0.0,0,-34.6,12.6,
11-May-2023,608.1,-8.6,-1.4%,,,17.0,,,-0.7,0.1,0.0,0,-34.7,12.5,
10-May-2023,616.7,+14.2,+2.4%,,,17.6,,,-0.7,-0.0,0.0,0,-34.6,15.8,
09-May-2023,602.5,+16.6,+2.8%,,,16.8,,,-0.7,-0.0,0.0,0,-34.5,16.0,
08-May-2023,585.9,-10.4,-1.7%,,,16.8,,,-0.7,-0.0,0.0,0,-34.5,16.0,
05-May-2023,596.3,-46.3,-7.2%,,,16.7,,,-0.7,0.1,0.0,0,-35.1,12.7,
04-May-2023,642.6,+30.0,+4.9%,,,16.9,,,-0.7,0.1,0.0,0,-36.2,12.8,
03-May-2023,612.6,-16.7,-2.7%,,,16.1,,,-0.7,0.1,0.0,0,-36.1,13.0,
02-May-2023,629.3,+49.5,+8.5%,,,16.5,,,-0.7,0.1,0.0,0,-36.5,13.0,
28-Apr-2023,579.8,-2.8,-0.5%,,,16.5,,,-0.7,0.1,0.0,0,-35.5,12.9,
27-Apr-2023,582.6,-14.1,-2.4%,,,16.5,,,-0.7,0.1,0.0,0,-35.6,12.9,
26-Apr-2023,596.7,+25.8,+4.5%,,,16.9,,,-0.7,0.0,0.0,0,-35.7,16.3,
25-Apr-2023,570.9,+17.3,+3.1%,,,16.3,,,-0.7,-0.0,0.0,0,-35.5,16.4,
24-Apr-2023,553.6,-4.5,-0.8%,,,16.7,,,-0.7,0.0,0.0,0,-35.2,16.5,
21-Apr-2023,558.1,-14.7,-2.6%,,,16.7,,,-0.7,-0.0,0.0,0,-35.0,16.3,
20-Apr-2023,572.8,+10.7,+1.9%,,,16.7,,,-0.7,-0.2,0.0,0,-35.5,16.4,
19-Apr-2023,562.1,-3.2,-0.6%,,,16.5,,,-0.7,-0.0,0.0,0,-35.5,16.4,
18-Apr-2023,565.3,-19.8,-3.4%,,,16.7,,,-0.7,-0.0,0.0,0,-35.5,16.4,
17-Apr-2023,585.1,+11.3,+2.0%,,,16.8,,,-0.7,-0.0,0.0,0,-36.1,16.4,
14-Apr-2023,573.8,-19.3,-3.3%,,,17.0,,,-0.7,-0.0,0.0,0,-35.7,16.3,
13-Apr-2023,593.1,,,,,17.0,,,-0.7,-0.0,0.0,0,-36.4,16.4,
12-Apr-2023,,,,,,,,,,,,0,,,
